participant.id_in_session,participant.risky_urn5_color_code1,participant.risky_urn5_color_code2,participant.risky_urn2_color_code,participant.risky_urn5_num_color1,participant.risky_urn5_num_color2,participant.risky_urn2_num_color,participant.amb1_urn5_color_code1,participant.amb1_urn5_color_code2,participant.amb1_urn2_color_code,participant.amb1_urn5_num_color1,participant.amb1_urn5_num_color2,participant.amb1_urn2_num_color,participant.amb2_urn5_color_code1,participant.amb2_urn5_color_code2,participant.amb2_urn2_color_code,participant.amb2_urn5_num_color1,participant.amb2_urn5_num_color2,participant.amb2_urn2_num_color,session.config.numballs,randomization.1.player.order1,randomization.1.player.order2,randomization.1.player.risk_order,randomization.1.player.ambiguity_order,randomization.1.player.amb1_urn5_colorevent1,randomization.1.player.amb1_urn5_colorevent2,randomization.1.player.amb1_urn2_colorevent,randomization.1.player.risky_urn5_colorevent1,randomization.1.player.risky_urn5_colorevent2,randomization.1.player.risky_urn2_colorevent,randomization.1.player.amb2_urn5_colorevent1,randomization.1.player.amb2_urn5_colorevent2,randomization.1.player.amb2_urn2_colorevent,randomization.1.player.paid_round_1,randomization.1.player.roll_event_1,randomization.1.player.roll_BSR_paid_round_1,randomization.1.player.paid_table_2,randomization.1.player.paid_row_2,randomization.1.player.roll_lottery_2,randomization.1.player.paid_table_3,randomization.1.player.paid_row_3,randomization.1.player.ball_drawn_unknown,randomization.1.player.ball_drawn_known,randomization.1.player.paid_part
11,"[8, 7, 5, 11, 12]","[3, 6, 2, 10, 9]","[1, 4]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[22, 18, 23, 17, 16]","[24, 14, 21, 20, 15]","[13, 19]","[2, 2, 3, 1, 2]","[2, 1, 5, 1, 1]","[4, 6]","[12, 6, 7, 8, 5]","[2, 3, 1, 9, 10]","[4, 11]","[4, 2, 1, 2, 1]","[1, 2, 3, 3, 1]","[6, 4]",10,2,2,2,5,22,24,13,11,2,4,7,10,11,6,6,49.07145155,3,16,87,3,8,4,9,3
12,"[6, 11, 4, 8, 7]","[5, 10, 9, 1, 2]","[3, 12]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[24, 20, 22, 23, 21]","[15, 17, 14, 19, 13]","[16, 18]","[1, 2, 2, 3, 2]","[2, 2, 2, 1, 3]","[3, 7]","[4, 6, 9, 12, 7]","[8, 1, 10, 3, 5]","[2, 11]","[0, 4, 1, 4, 1]","[0, 0, 1, 3, 6]","[3, 7]",10,5,5,1,4,22,15,18,6,1,12,6,10,2,6,3,46.32823834,2,1,22,2,2,2,9,3
13,"[1, 12, 3, 7, 9]","[4, 2, 11, 6, 5]","[8, 10]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[14, 20, 23, 16, 18]","[13, 19, 24, 22, 21]","[15, 17]","[2, 2, 3, 1, 2]","[2, 2, 1, 3, 2]","[3, 7]","[8, 9, 5, 12, 10]","[4, 1, 7, 3, 6]","[2, 11]","[2, 3, 0, 2, 3]","[0, 2, 0, 4, 4]","[6, 4]",10,5,6,4,4,14,13,17,3,4,10,10,3,11,4,3,49.7267189,2,25,48,2,6,3,5,2
14,"[1, 3, 8, 2, 4]","[10, 9, 7, 6, 11]","[5, 12]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[14, 15, 22, 20, 21]","[16, 17, 13, 18, 23]","[19, 24]","[3, 2, 1, 3, 1]","[2, 3, 3, 1, 1]","[4, 6]","[10, 12, 11, 2, 3]","[1, 6, 8, 7, 5]","[4, 9]","[2, 2, 0, 4, 2]","[2, 2, 2, 1, 3]","[5, 5]",10,3,2,2,6,21,18,19,3,7,12,2,6,9,6,8,70.4902028,3,5,76,1,7,7,10,2
15,"[11, 7, 6, 10, 9]","[1, 4, 5, 3, 2]","[8, 12]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[16, 24, 20, 18, 22]","[19, 13, 21, 23, 15]","[14, 17]","[0, 2, 2, 4, 2]","[1, 1, 1, 5, 2]","[6, 4]","[7, 11, 2, 12, 10]","[9, 8, 5, 6, 4]","[1, 3]","[3, 0, 2, 2, 3]","[0, 3, 3, 1, 3]","[5, 5]",10,3,4,1,5,18,13,14,7,5,8,11,4,3,4,6,88.37495266,2,24,13,3,8,9,10,2
16,"[2, 6, 11, 3, 5]","[12, 9, 4, 8, 7]","[1, 10]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[17, 15, 13, 24, 21]","[22, 18, 14, 20, 16]","[19, 23]","[1, 3, 2, 2, 2]","[2, 2, 1, 1, 4]","[6, 4]","[7, 5, 3, 8, 1]","[6, 10, 2, 9, 11]","[4, 12]","[1, 1, 2, 4, 2]","[2, 1, 1, 3, 3]","[5, 5]",10,4,3,2,3,24,22,19,5,12,1,7,6,12,5,10,2.976707802,3,19,91,3,2,9,6,1
17,"[9, 6, 10, 5, 11]","[4, 3, 12, 8, 2]","[1, 7]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[21, 19, 14, 18, 16]","[22, 24, 20, 23, 13]","[15, 17]","[0, 3, 0, 6, 1]","[2, 2, 6, 0, 0]","[6, 4]","[10, 4, 1, 7, 9]","[6, 2, 3, 8, 12]","[5, 11]","[3, 1, 1, 0, 5]","[0, 6, 1, 1, 2]","[7, 3]",10,4,1,6,5,21,13,17,5,4,1,1,8,11,2,5,78.92157596,1,15,28,1,5,10,10,3
18,"[1, 6, 4, 2, 7]","[11, 3, 10, 5, 9]","[8, 12]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[14, 20, 22, 24, 17]","[15, 16, 13, 18, 21]","[19, 23]","[2, 0, 2, 3, 3]","[1, 4, 0, 3, 2]","[5, 5]","[2, 3, 5, 11, 8]","[9, 10, 4, 1, 12]","[6, 7]","[1, 1, 3, 1, 4]","[3, 1, 1, 1, 4]","[3, 7]",10,6,6,4,6,22,16,23,7,3,12,3,4,6,3,10,94.11546858,2,13,82,2,2,1,9,3
19,"[9, 1, 8, 11, 7]","[2, 4, 10, 6, 12]","[3, 5]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[13, 15, 16, 20, 18]","[24, 17, 23, 21, 14]","[19, 22]","[3, 1, 3, 1, 2]","[4, 2, 0, 2, 2]","[7, 3]","[2, 9, 8, 10, 4]","[3, 11, 5, 7, 6]","[1, 12]","[4, 3, 2, 1, 0]","[0, 2, 3, 2, 3]","[6, 4]",10,4,4,1,5,15,17,22,11,4,5,8,5,12,5,4,95.02021112,1,10,9,1,10,2,6,1
20,"[9, 6, 4, 11, 1]","[5, 7, 10, 8, 2]","[3, 12]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[22, 24, 18, 14, 20]","[19, 17, 21, 13, 15]","[16, 23]","[3, 2, 2, 1, 2]","[1, 3, 2, 2, 2]","[7, 3]","[4, 7, 11, 10, 9]","[8, 6, 3, 2, 12]","[1, 5]","[2, 1, 1, 3, 3]","[0, 3, 3, 3, 1]","[5, 5]",10,5,5,6,4,24,15,16,6,10,12,7,8,5,2,5,92.6565041,1,22,57,3,8,9,7,1
21,"[5, 10, 7, 9, 4]","[3, 1, 2, 8, 6]","[11, 12]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[17, 22, 18, 13, 21]","[19, 24, 23, 15, 14]","[16, 20]","[0, 3, 4, 1, 2]","[1, 1, 3, 3, 2]","[3, 7]","[1, 6, 7, 4, 11]","[9, 2, 10, 8, 12]","[3, 5]","[3, 2, 1, 0, 4]","[2, 2, 3, 1, 2]","[5, 5]",10,3,5,2,5,18,23,20,5,3,11,11,10,3,5,5,1.225365753,1,3,97,1,6,10,4,3
22,"[12, 2, 5, 8, 1]","[4, 10, 3, 7, 6]","[9, 11]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[14, 15, 18, 16, 21]","[24, 20, 19, 17, 22]","[13, 23]","[1, 2, 2, 4, 1]","[2, 3, 0, 5, 0]","[6, 4]","[3, 6, 8, 4, 11]","[12, 9, 1, 7, 2]","[5, 10]","[4, 3, 1, 1, 1]","[4, 2, 1, 0, 3]","[5, 5]",10,4,6,6,3,16,17,13,8,10,11,6,12,10,3,7,51.02915817,2,17,67,3,2,6,5,2
23,"[8, 11, 12, 3, 2]","[4, 5, 6, 1, 7]","[9, 10]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[18, 15, 22, 16, 13]","[14, 20, 19, 17, 21]","[23, 24]","[4, 2, 2, 1, 1]","[1, 3, 3, 2, 1]","[3, 7]","[1, 7, 6, 4, 5]","[9, 11, 3, 8, 2]","[10, 12]","[3, 2, 2, 0, 3]","[2, 3, 2, 2, 1]","[4, 6]",10,2,4,2,1,16,14,24,3,1,10,4,3,10,6,4,10.59781944,1,14,13,1,10,2,5,1
24,"[9, 11, 12, 1, 3]","[10, 8, 2, 4, 7]","[5, 6]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[15, 23, 19, 17, 18]","[13, 16, 24, 22, 21]","[14, 20]","[3, 0, 1, 3, 3]","[2, 0, 2, 1, 5]","[3, 7]","[2, 8, 11, 9, 10]","[5, 3, 12, 7, 4]","[1, 6]","[2, 1, 3, 2, 2]","[1, 3, 0, 2, 4]","[3, 7]",10,5,6,2,2,18,22,14,12,7,6,8,5,1,3,10,37.70799981,1,13,82,2,2,3,8,2
25,"[12, 9, 5, 4, 6]","[8, 2, 1, 11, 3]","[7, 10]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[23, 20, 15, 14, 21]","[19, 22, 13, 24, 17]","[16, 18]","[3, 1, 2, 2, 2]","[0, 2, 3, 3, 2]","[5, 5]","[6, 2, 3, 8, 9]","[5, 4, 10, 12, 11]","[1, 7]","[3, 1, 4, 1, 1]","[1, 1, 5, 2, 1]","[7, 3]",10,5,1,4,3,14,22,18,6,8,10,3,12,7,3,10,81.76199302,2,30,91,3,4,9,9,1
26,"[5, 1, 11, 10, 2]","[3, 8, 6, 9, 4]","[7, 12]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[17, 14, 24, 13, 20]","[18, 22, 23, 16, 21]","[15, 19]","[5, 3, 2, 0, 0]","[1, 5, 0, 1, 3]","[4, 6]","[4, 11, 2, 8, 5]","[12, 10, 6, 9, 7]","[1, 3]","[2, 3, 1, 1, 3]","[1, 3, 3, 2, 1]","[6, 4]",10,1,5,1,5,14,16,19,5,4,7,5,6,1,6,5,78.89128717,3,8,20,2,8,4,2,1
27,"[2, 10, 11, 4, 7]","[5, 3, 8, 1, 6]","[9, 12]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[16, 21, 14, 24, 23]","[13, 22, 17, 20, 15]","[18, 19]","[1, 3, 1, 2, 3]","[1, 1, 1, 3, 4]","[4, 6]","[3, 7, 11, 4, 1]","[5, 6, 8, 9, 10]","[2, 12]","[1, 1, 0, 4, 4]","[2, 1, 2, 2, 3]","[9, 1]",10,6,2,4,5,16,13,18,2,6,9,11,5,2,6,1,45.8164929,3,8,18,2,4,1,8,2
28,"[4, 7, 9, 2, 5]","[3, 12, 11, 10, 6]","[1, 8]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[17, 19, 21, 15, 18]","[23, 20, 24, 14, 22]","[13, 16]","[5, 1, 2, 1, 1]","[0, 3, 3, 0, 4]","[7, 3]","[1, 5, 10, 4, 2]","[7, 12, 6, 11, 3]","[8, 9]","[4, 2, 2, 0, 2]","[1, 3, 2, 2, 2]","[4, 6]",10,2,3,4,3,21,20,13,7,10,8,10,7,8,5,10,35.58877626,1,5,54,1,6,5,5,1
29,"[4, 6, 3, 7, 11]","[12, 2, 9, 10, 1]","[5, 8]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[24, 15, 23, 13, 20]","[19, 18, 21, 17, 14]","[16, 22]","[3, 1, 1, 1, 4]","[4, 0, 3, 2, 1]","[5, 5]","[2, 3, 9, 6, 7]","[1, 4, 8, 11, 10]","[5, 12]","[0, 4, 1, 3, 2]","[2, 3, 1, 2, 2]","[7, 3]",10,2,1,3,6,23,17,22,11,1,8,3,10,5,1,2,82.91151364,1,18,91,1,5,2,9,2
30,"[8, 3, 11, 7, 9]","[2, 6, 12, 10, 1]","[4, 5]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[15, 24, 14, 21, 18]","[16, 17, 20, 23, 22]","[13, 19]","[2, 4, 0, 3, 1]","[1, 3, 3, 3, 0]","[2, 8]","[7, 6, 2, 3, 12]","[5, 10, 11, 8, 4]","[1, 9]","[2, 3, 2, 2, 1]","[3, 0, 3, 3, 1]","[7, 3]",10,2,6,3,3,21,23,19,7,6,4,3,10,1,6,10,28.47237016,1,4,29,1,8,7,5,3
31,"[6, 10, 8, 12, 9]","[2, 7, 11, 5, 1]","[3, 4]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[21, 20, 17, 16, 23]","[13, 24, 19, 22, 18]","[14, 15]","[0, 1, 5, 2, 2]","[2, 2, 1, 2, 3]","[4, 6]","[7, 1, 12, 6, 9]","[11, 4, 5, 10, 2]","[3, 8]","[5, 0, 2, 2, 1]","[1, 3, 1, 2, 3]","[4, 6]",10,5,6,1,6,20,18,15,10,1,3,1,2,3,5,7,61.18174095,2,11,25,1,2,7,5,3
32,"[8, 3, 5, 10, 12]","[7, 4, 11, 1, 6]","[2, 9]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[18, 23, 21, 19, 17]","[14, 16, 22, 24, 15]","[13, 20]","[0, 2, 4, 2, 2]","[2, 0, 4, 2, 2]","[6, 4]","[1, 6, 10, 2, 4]","[11, 9, 7, 12, 3]","[5, 8]","[3, 0, 1, 3, 3]","[2, 2, 2, 3, 1]","[6, 4]",10,4,1,3,6,18,22,13,8,11,9,1,7,8,6,1,47.13733783,1,18,80,1,5,9,1,3
33,"[12, 6, 1, 7, 10]","[4, 2, 3, 8, 11]","[5, 9]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[21, 19, 20, 24, 23]","[22, 13, 14, 17, 18]","[15, 16]","[0, 1, 4, 1, 4]","[1, 4, 2, 1, 2]","[6, 4]","[12, 6, 2, 3, 8]","[9, 10, 1, 4, 11]","[5, 7]","[1, 0, 2, 3, 4]","[1, 2, 0, 5, 2]","[3, 7]",10,4,4,2,5,24,17,15,6,8,9,8,11,5,5,3,83.64233641,1,18,52,1,4,6,4,1
34,"[9, 5, 2, 7, 12]","[8, 10, 6, 11, 3]","[1, 4]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[23, 15, 13, 16, 18]","[24, 14, 21, 20, 17]","[19, 22]","[4, 1, 3, 2, 0]","[2, 1, 3, 3, 1]","[5, 5]","[6, 4, 10, 12, 7]","[8, 2, 5, 1, 11]","[3, 9]","[2, 3, 0, 4, 1]","[2, 2, 2, 0, 4]","[4, 6]",10,5,4,6,3,16,21,19,7,3,1,7,1,3,6,8,73.52036717,2,29,95,1,6,5,8,3
35,"[7, 1, 11, 4, 10]","[6, 12, 3, 9, 2]","[5, 8]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[22, 19, 17, 18, 23]","[24, 16, 14, 15, 13]","[20, 21]","[4, 1, 1, 1, 3]","[1, 1, 3, 3, 2]","[4, 6]","[4, 8, 5, 7, 6]","[12, 10, 2, 1, 9]","[3, 11]","[1, 2, 1, 4, 2]","[1, 0, 2, 3, 4]","[9, 1]",10,2,2,4,5,19,16,21,1,6,8,8,12,3,1,5,32.72372702,2,22,36,2,3,7,1,3
36,"[7, 9, 10, 4, 3]","[5, 2, 8, 1, 11]","[6, 12]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[21, 17, 22, 20, 18]","[15, 23, 16, 14, 24]","[13, 19]","[4, 0, 3, 2, 1]","[2, 2, 2, 0, 4]","[4, 6]","[6, 7, 10, 12, 2]","[8, 5, 3, 9, 4]","[1, 11]","[1, 2, 1, 3, 3]","[2, 2, 2, 3, 1]","[4, 6]",10,1,1,6,4,20,16,19,3,5,12,7,8,1,5,7,21.82925202,3,9,56,3,1,9,1,3
37,"[7, 10, 5, 1, 12]","[8, 6, 2, 11, 9]","[3, 4]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[18, 20, 19, 15, 24]","[17, 14, 16, 22, 23]","[13, 21]","[1, 3, 1, 2, 3]","[1, 0, 3, 2, 4]","[5, 5]","[11, 10, 7, 2, 12]","[9, 1, 3, 4, 6]","[5, 8]","[1, 2, 2, 2, 3]","[1, 2, 2, 4, 1]","[4, 6]",10,4,4,4,5,19,22,21,7,2,4,7,4,8,2,3,77.68301652,1,25,23,2,2,9,5,1
38,"[2, 12, 11, 3, 5]","[8, 4, 10, 1, 6]","[7, 9]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[21, 15, 19, 18, 20]","[24, 14, 17, 22, 16]","[13, 23]","[0, 1, 3, 2, 4]","[1, 1, 4, 2, 2]","[6, 4]","[8, 5, 10, 3, 9]","[1, 2, 4, 6, 7]","[11, 12]","[1, 2, 3, 2, 2]","[1, 1, 2, 2, 4]","[6, 4]",10,1,3,1,4,15,16,23,3,8,9,3,6,11,4,8,91.55926575,1,3,12,3,3,7,10,3
39,"[10, 4, 5, 1, 2]","[3, 11, 8, 12, 7]","[6, 9]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[16, 24, 21, 17, 23]","[22, 13, 14, 19, 20]","[15, 18]","[0, 1, 3, 5, 1]","[2, 1, 3, 2, 2]","[4, 6]","[9, 6, 4, 2, 10]","[1, 8, 7, 5, 3]","[11, 12]","[3, 1, 2, 3, 1]","[3, 0, 4, 1, 2]","[3, 7]",10,5,1,2,4,23,14,18,4,3,9,10,8,12,3,2,18.29493261,3,8,42,2,6,9,3,2
40,"[9, 4, 1, 7, 5]","[2, 12, 3, 8, 11]","[6, 10]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[21, 13, 22, 19, 18]","[15, 20, 23, 16, 24]","[14, 17]","[3, 3, 0, 2, 2]","[2, 2, 1, 3, 2]","[4, 6]","[8, 5, 1, 9, 11]","[6, 2, 4, 10, 3]","[7, 12]","[3, 3, 3, 1, 0]","[2, 2, 2, 2, 2]","[4, 6]",10,1,5,1,6,18,16,14,9,12,10,11,2,7,6,6,5.705232506,1,24,40,3,3,8,10,1
41,"[11, 10, 8, 6, 2]","[1, 3, 7, 9, 4]","[5, 12]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[2, 2, 2, 2, 2]","[16, 18, 19, 22, 14]","[20, 15, 24, 23, 13]","[17, 21]","[6, 0, 1, 2, 1]","[3, 1, 3, 2, 1]","[1, 9]","[6, 2, 12, 9, 7]","[11, 1, 10, 3, 8]","[4, 5]","[0, 5, 0, 3, 2]","[2, 2, 3, 2, 1]","[6, 4]",10,4,6,5,6,14,24,21,2,4,5,6,8,4,1,7,21.76836374,3,11,96,2,2,3,1,2
