participant.id_in_session,participant.risky_urn5_color_code1,participant.risky_urn5_color_code2,participant.risky_urn2_color_code,participant.risky_urn5_num_color1,participant.risky_urn5_num_color2,participant.risky_urn2_num_color,participant.amb1_urn5_color_code1,participant.amb1_urn5_color_code2,participant.amb1_urn2_color_code,participant.amb1_urn5_num_color1,participant.amb1_urn5_num_color2,participant.amb1_urn2_num_color,participant.amb2_urn5_color_code1,participant.amb2_urn5_color_code2,participant.amb2_urn2_color_code,participant.amb2_urn5_num_color1,participant.amb2_urn5_num_color2,participant.amb2_urn2_num_color,session.config.numballs,randomization.1.player.order1,randomization.1.player.order2,randomization.1.player.risk_order,randomization.1.player.ambiguity_order,randomization.1.player.amb1_urn5_colorevent1,randomization.1.player.amb1_urn5_colorevent2,randomization.1.player.amb1_urn2_colorevent,randomization.1.player.risky_urn5_colorevent1,randomization.1.player.risky_urn5_colorevent2,randomization.1.player.risky_urn2_colorevent,randomization.1.player.amb2_urn5_colorevent1,randomization.1.player.amb2_urn5_colorevent2,randomization.1.player.amb2_urn2_colorevent,randomization.1.player.paid_round_1,randomization.1.player.roll_event_1,randomization.1.player.roll_BSR_paid_round_1,randomization.1.player.paid_table_2,randomization.1.player.paid_row_2,randomization.1.player.roll_lottery_2,randomization.1.player.paid_table_3,randomization.1.player.paid_row_3,randomization.1.player.ball_drawn_unknown,randomization.1.player.ball_drawn_known,randomization.1.player.paid_part
11,"[4, 7, 8, 1, 3]","[10, 12, 11, 5, 9]","[2, 6]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[14, 24, 13, 22, 15]","[23, 21, 19, 18, 16]","[17, 20]","[21, 35, 15, 17, 12]","[20, 23, 15, 18, 24]","[50, 50]","[1, 8, 12, 7, 3]","[9, 11, 4, 5, 6]","[2, 10]","[21, 17, 29, 21, 12]","[28, 13, 32, 10, 17]","[48, 52]",100,1,4,6,2,13,18,17,1,11,6,3,11,2,1,72,72.21202413,3,18,47,3,17,89,18,2
12,"[12, 7, 3, 1, 4]","[11, 5, 8, 10, 9]","[2, 6]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[19, 16, 15, 24, 18]","[17, 21, 23, 22, 20]","[13, 14]","[24, 15, 17, 24, 20]","[22, 22, 19, 20, 17]","[49, 51]","[3, 4, 8, 2, 7]","[6, 11, 5, 1, 12]","[9, 10]","[17, 25, 12, 25, 21]","[19, 16, 26, 16, 23]","[56, 44]",100,2,6,4,3,15,21,14,3,10,2,7,11,10,6,66,92.02027234,3,16,25,2,1,2,9,2
13,"[9, 8, 3, 10, 7]","[4, 11, 12, 5, 6]","[1, 2]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[17, 16, 22, 19, 18]","[23, 13, 15, 14, 21]","[20, 24]","[18, 25, 18, 18, 21]","[21, 20, 19, 16, 24]","[49, 51]","[11, 1, 10, 4, 9]","[3, 7, 12, 2, 8]","[5, 6]","[22, 18, 23, 24, 13]","[24, 19, 19, 20, 18]","[48, 52]",100,4,1,4,3,22,13,24,10,4,1,10,2,6,1,71,75.90818073,3,12,20,3,4,69,23,1
14,"[8, 9, 6, 7, 2]","[3, 1, 4, 11, 12]","[5, 10]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[19, 24, 13, 14, 17]","[18, 23, 20, 21, 16]","[15, 22]","[20, 20, 19, 22, 19]","[19, 15, 29, 20, 17]","[45, 55]","[3, 10, 12, 4, 8]","[11, 6, 5, 9, 1]","[2, 7]","[14, 25, 12, 21, 28]","[17, 19, 21, 19, 24]","[53, 47]",100,6,2,1,3,14,18,15,6,3,5,3,9,2,1,20,49.52397388,2,5,89,3,11,74,41,2
15,"[8, 2, 6, 1, 9]","[12, 5, 7, 10, 3]","[4, 11]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[15, 19, 17, 24, 20]","[14, 16, 18, 23, 21]","[13, 22]","[22, 20, 19, 16, 23]","[26, 14, 17, 24, 19]","[50, 50]","[12, 2, 1, 8, 3]","[9, 11, 6, 4, 10]","[5, 7]","[16, 19, 17, 27, 21]","[22, 17, 23, 14, 24]","[55, 45]",100,2,1,5,6,15,14,22,8,5,11,3,11,5,2,10,47.82489327,1,8,92,3,11,51,9,3
16,"[1, 12, 4, 6, 5]","[9, 7, 11, 3, 10]","[2, 8]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[16, 18, 21, 24, 23]","[20, 22, 13, 15, 19]","[14, 17]","[20, 23, 18, 20, 19]","[17, 24, 18, 21, 20]","[36, 64]","[11, 10, 6, 12, 5]","[2, 8, 7, 3, 1]","[4, 9]","[16, 19, 21, 28, 16]","[17, 22, 15, 28, 18]","[50, 50]",100,2,1,3,6,18,13,14,1,3,2,10,1,4,5,43,5.589165561,2,3,68,2,8,55,26,3
17,"[4, 7, 5, 6, 10]","[1, 12, 11, 8, 9]","[2, 3]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[13, 16, 14, 21, 15]","[19, 24, 22, 20, 18]","[17, 23]","[23, 21, 21, 20, 15]","[30, 15, 19, 19, 17]","[55, 45]","[12, 10, 6, 11, 5]","[8, 4, 7, 3, 1]","[2, 9]","[19, 14, 24, 26, 17]","[14, 20, 20, 26, 20]","[46, 54]",100,2,4,6,1,15,24,17,10,11,3,10,4,9,6,54,31.63565022,2,25,56,2,1,17,31,2
18,"[5, 8, 3, 12, 1]","[4, 6, 11, 10, 7]","[2, 9]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[18, 22, 15, 17, 24]","[16, 21, 14, 20, 13]","[19, 23]","[20, 21, 21, 23, 15]","[27, 20, 15, 21, 17]","[53, 47]","[6, 3, 4, 11, 10]","[2, 5, 7, 8, 12]","[1, 9]","[19, 30, 11, 22, 18]","[17, 21, 12, 30, 20]","[47, 53]",100,5,1,2,5,17,13,23,8,11,9,3,2,9,2,25,13.08138883,1,1,0,1,19,86,55,2
19,"[2, 11, 5, 3, 7]","[4, 8, 1, 9, 12]","[6, 10]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[17, 20, 15, 21, 13]","[19, 22, 16, 23, 24]","[14, 18]","[26, 15, 16, 27, 16]","[20, 17, 18, 24, 21]","[50, 50]","[5, 8, 7, 1, 10]","[12, 6, 2, 3, 4]","[9, 11]","[14, 22, 27, 22, 15]","[25, 17, 26, 16, 16]","[50, 50]",100,4,4,2,1,17,23,18,3,9,10,7,2,11,3,62,7.523463976,2,11,33,1,9,41,80,2
20,"[11, 4, 6, 7, 8]","[1, 12, 3, 2, 9]","[5, 10]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[23, 16, 20, 18, 13]","[21, 22, 17, 15, 24]","[14, 19]","[15, 23, 20, 21, 21]","[17, 24, 20, 20, 19]","[55, 45]","[10, 4, 11, 2, 9]","[8, 5, 7, 1, 3]","[6, 12]","[24, 20, 16, 17, 23]","[23, 25, 15, 19, 18]","[50, 50]",100,5,2,1,1,18,22,14,7,9,10,2,5,6,6,42,89.83245652,2,3,97,1,11,24,16,2
21,"[2, 12, 11, 5, 3]","[8, 7, 10, 1, 4]","[6, 9]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[17, 16, 18, 22, 24]","[23, 20, 14, 13, 19]","[15, 21]","[19, 21, 20, 24, 16]","[19, 16, 21, 23, 21]","[46, 54]","[3, 12, 9, 11, 4]","[5, 8, 2, 10, 6]","[1, 7]","[15, 22, 26, 20, 17]","[23, 25, 18, 12, 22]","[54, 46]",100,6,1,6,6,18,14,21,5,7,9,3,6,1,1,76,49.31091085,3,29,7,3,13,14,1,2
22,"[5, 3, 9, 2, 7]","[11, 12, 8, 10, 6]","[1, 4]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[20, 15, 19, 23, 16]","[17, 14, 22, 13, 21]","[18, 24]","[17, 18, 25, 17, 23]","[19, 22, 22, 22, 15]","[54, 46]","[6, 10, 9, 3, 12]","[11, 7, 1, 4, 2]","[5, 8]","[21, 20, 22, 21, 16]","[23, 20, 18, 13, 26]","[48, 52]",100,1,6,4,6,19,21,18,2,12,4,10,4,5,3,2,61.82599949,1,24,30,2,5,84,13,1
23,"[8, 9, 7, 12, 3]","[5, 6, 4, 10, 1]","[2, 11]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[17, 16, 18, 23, 22]","[19, 20, 21, 24, 14]","[13, 15]","[20, 21, 20, 20, 19]","[28, 17, 21, 18, 16]","[51, 49]","[7, 10, 1, 4, 12]","[3, 11, 8, 2, 6]","[5, 9]","[15, 20, 18, 25, 22]","[22, 14, 14, 24, 26]","[46, 54]",100,5,2,2,1,23,24,13,3,6,2,12,11,9,5,88,70.03493012,2,2,5,3,8,48,70,1
24,"[12, 1, 4, 10, 11]","[8, 2, 7, 6, 9]","[3, 5]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[15, 23, 20, 13, 19]","[16, 22, 24, 14, 18]","[17, 21]","[13, 20, 15, 26, 26]","[20, 27, 20, 16, 17]","[44, 56]","[8, 11, 4, 12, 10]","[5, 1, 3, 9, 6]","[2, 7]","[21, 21, 24, 18, 16]","[28, 18, 25, 15, 14]","[51, 49]",100,6,3,5,6,13,14,21,11,8,5,4,1,2,1,72,85.99963102,1,29,81,1,4,34,70,3
25,"[9, 5, 6, 8, 3]","[2, 1, 10, 11, 7]","[4, 12]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[19, 21, 20, 14, 24]","[17, 16, 23, 18, 22]","[13, 15]","[19, 19, 18, 26, 18]","[15, 23, 22, 24, 16]","[53, 47]","[8, 5, 11, 3, 1]","[7, 9, 4, 6, 2]","[10, 12]","[18, 19, 21, 19, 23]","[19, 21, 18, 20, 22]","[43, 57]",100,6,6,2,3,14,23,15,5,2,4,3,6,12,3,12,40.3350513,1,7,71,3,18,1,92,1
26,"[1, 9, 12, 6, 2]","[8, 3, 7, 11, 4]","[5, 10]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[20, 15, 19, 21, 16]","[22, 14, 23, 13, 17]","[18, 24]","[20, 21, 18, 16, 25]","[23, 13, 26, 22, 16]","[51, 49]","[4, 3, 5, 7, 12]","[6, 9, 1, 11, 10]","[2, 8]","[17, 23, 23, 21, 16]","[24, 15, 21, 26, 14]","[56, 44]",100,6,6,5,4,20,14,24,1,4,10,12,1,8,6,4,1.012310344,3,19,67,2,10,71,14,1
27,"[9, 2, 5, 6, 10]","[8, 4, 3, 1, 7]","[11, 12]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[24, 21, 17, 13, 18]","[22, 19, 14, 15, 16]","[20, 23]","[19, 18, 20, 21, 22]","[18, 22, 21, 17, 22]","[50, 50]","[5, 11, 2, 8, 3]","[1, 12, 6, 10, 7]","[4, 9]","[18, 26, 14, 17, 25]","[16, 25, 20, 17, 22]","[46, 54]",100,4,4,4,4,24,22,23,10,3,12,11,7,9,5,5,28.97283749,3,21,26,2,13,54,17,1
28,"[9, 11, 1, 4, 3]","[10, 7, 2, 6, 8]","[5, 12]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[15, 22, 17, 13, 16]","[24, 14, 20, 19, 23]","[18, 21]","[19, 22, 23, 15, 21]","[13, 27, 21, 20, 19]","[46, 54]","[5, 1, 2, 9, 8]","[3, 6, 11, 4, 7]","[10, 12]","[13, 22, 27, 20, 18]","[23, 21, 22, 14, 20]","[64, 36]",100,3,2,1,4,17,19,21,3,6,12,9,4,12,3,94,80.11597647,1,6,70,1,13,21,100,3
29,"[12, 1, 7, 10, 4]","[5, 9, 2, 11, 8]","[3, 6]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[14, 23, 13, 16, 20]","[22, 21, 17, 18, 24]","[15, 19]","[22, 19, 21, 20, 18]","[23, 18, 16, 19, 24]","[44, 56]","[6, 11, 2, 7, 5]","[9, 8, 3, 4, 10]","[1, 12]","[22, 20, 16, 16, 26]","[14, 20, 22, 24, 20]","[45, 55]",100,5,2,6,5,23,21,15,12,5,6,2,10,1,4,71,97.25370713,2,20,89,1,7,30,95,2
30,"[12, 10, 9, 5, 6]","[2, 11, 7, 1, 4]","[3, 8]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[18, 22, 23, 15, 13]","[20, 16, 14, 21, 19]","[17, 24]","[19, 19, 27, 15, 20]","[27, 11, 24, 19, 19]","[44, 56]","[12, 3, 10, 6, 4]","[5, 1, 9, 7, 2]","[8, 11]","[19, 20, 22, 19, 20]","[26, 14, 21, 19, 20]","[48, 52]",100,5,1,1,5,13,21,17,5,7,3,3,2,11,3,59,89.67220441,1,7,54,1,17,73,92,1
31,"[6, 3, 4, 1, 10]","[2, 5, 11, 12, 8]","[7, 9]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[14, 13, 21, 16, 22]","[15, 24, 23, 17, 19]","[18, 20]","[18, 17, 23, 23, 19]","[31, 26, 9, 21, 13]","[50, 50]","[9, 4, 6, 11, 1]","[5, 3, 2, 8, 10]","[7, 12]","[29, 14, 13, 17, 27]","[29, 15, 19, 23, 14]","[50, 50]",100,3,1,2,5,22,17,20,1,5,7,4,5,7,2,56,57.42188719,3,6,86,1,8,36,88,1
32,"[9, 6, 2, 4, 10]","[7, 8, 3, 5, 11]","[1, 12]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[20, 23, 14, 16, 19]","[21, 15, 13, 22, 18]","[17, 24]","[23, 27, 14, 23, 13]","[20, 18, 13, 30, 19]","[42, 58]","[2, 8, 6, 11, 5]","[10, 1, 12, 4, 9]","[3, 7]","[20, 20, 21, 17, 22]","[30, 16, 14, 24, 16]","[54, 46]",100,4,3,3,3,23,22,17,6,3,12,5,9,3,1,88,31.42071216,2,11,95,3,4,14,55,3
33,"[2, 9, 1, 11, 6]","[3, 8, 10, 7, 4]","[5, 12]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[18, 20, 23, 16, 21]","[19, 24, 15, 14, 17]","[13, 22]","[27, 21, 17, 19, 16]","[25, 21, 18, 14, 22]","[48, 52]","[2, 1, 3, 6, 9]","[10, 4, 8, 11, 12]","[5, 7]","[28, 15, 17, 21, 19]","[26, 19, 23, 15, 17]","[62, 38]",100,5,6,2,3,16,24,13,1,3,5,3,4,5,4,72,66.41214207,3,5,93,1,14,24,5,2
34,"[9, 6, 2, 1, 5]","[10, 12, 11, 3, 7]","[4, 8]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[17, 14, 16, 18, 22]","[23, 15, 13, 20, 21]","[19, 24]","[24, 16, 22, 15, 23]","[21, 14, 21, 21, 23]","[36, 64]","[4, 1, 5, 8, 10]","[2, 6, 7, 3, 9]","[11, 12]","[21, 18, 15, 21, 25]","[15, 25, 27, 14, 19]","[57, 43]",100,3,5,5,6,14,23,19,6,12,8,10,7,12,2,73,86.11063525,2,16,99,1,12,23,58,2
35,"[12, 4, 8, 11, 10]","[9, 6, 5, 2, 7]","[1, 3]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[18, 19, 20, 14, 22]","[15, 23, 21, 13, 16]","[17, 24]","[26, 17, 20, 20, 17]","[24, 19, 22, 21, 14]","[48, 52]","[1, 11, 3, 2, 5]","[12, 9, 8, 6, 10]","[4, 7]","[17, 19, 20, 24, 20]","[20, 14, 23, 22, 21]","[58, 42]",100,2,1,1,6,19,23,24,10,9,3,11,12,4,4,78,18.50904592,1,25,12,1,18,71,67,2
36,"[12, 5, 9, 8, 3]","[1, 2, 6, 11, 10]","[4, 7]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[17, 23, 14, 20, 13]","[22, 24, 16, 18, 15]","[19, 21]","[16, 22, 21, 21, 20]","[21, 24, 21, 16, 18]","[54, 46]","[2, 10, 11, 7, 6]","[8, 4, 1, 9, 3]","[5, 12]","[13, 19, 22, 26, 20]","[22, 21, 18, 22, 17]","[55, 45]",100,6,4,1,6,20,22,19,12,1,7,11,9,5,1,37,45.64266142,2,18,91,3,8,98,48,1
37,"[12, 2, 8, 4, 11]","[5, 3, 6, 7, 10]","[1, 9]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[14, 23, 18, 21, 13]","[24, 19, 22, 16, 20]","[15, 17]","[13, 13, 35, 27, 12]","[12, 25, 27, 15, 21]","[40, 60]","[9, 6, 11, 1, 2]","[10, 8, 4, 5, 3]","[7, 12]","[27, 19, 21, 19, 14]","[20, 15, 23, 24, 18]","[53, 47]",100,6,2,3,3,23,20,17,4,3,1,1,3,7,6,41,20.72633984,2,6,9,2,4,56,67,3
38,"[8, 5, 2, 10, 3]","[11, 7, 6, 9, 4]","[1, 12]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[16, 24, 15, 23, 17]","[19, 22, 13, 14, 21]","[18, 20]","[26, 18, 18, 12, 26]","[18, 23, 17, 23, 19]","[49, 51]","[10, 7, 4, 12, 6]","[3, 11, 2, 9, 5]","[1, 8]","[23, 19, 19, 21, 18]","[21, 21, 17, 18, 23]","[58, 42]",100,6,6,1,3,23,19,20,5,4,12,6,9,8,6,16,18.79159314,3,16,58,2,11,11,55,2
39,"[12, 5, 11, 4, 6]","[7, 3, 1, 2, 8]","[9, 10]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[23, 16, 17, 20, 18]","[24, 14, 13, 21, 19]","[15, 22]","[22, 18, 19, 20, 21]","[18, 18, 28, 19, 17]","[55, 45]","[10, 6, 3, 4, 7]","[12, 1, 8, 2, 9]","[5, 11]","[22, 19, 20, 21, 18]","[20, 18, 18, 24, 20]","[47, 53]",100,2,3,5,4,20,14,15,5,7,10,10,12,5,1,89,7.374772803,2,20,45,3,1,76,14,3
40,"[4, 7, 2, 6, 12]","[9, 10, 5, 3, 1]","[8, 11]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[23, 18, 13, 24, 19]","[14, 21, 22, 17, 16]","[15, 20]","[17, 15, 26, 24, 18]","[25, 19, 18, 15, 23]","[48, 52]","[12, 3, 10, 8, 1]","[9, 6, 7, 11, 5]","[2, 4]","[21, 21, 18, 19, 21]","[17, 23, 24, 16, 20]","[52, 48]",100,4,5,1,5,19,14,20,6,10,11,10,11,2,2,35,96.71282766,2,28,11,2,19,17,47,1
41,"[3, 6, 12, 7, 4]","[5, 8, 9, 11, 10]","[1, 2]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[20, 20, 20, 20, 20]","[22, 14, 24, 18, 20]","[21, 13, 15, 17, 16]","[19, 23]","[17, 26, 23, 14, 20]","[13, 25, 24, 19, 19]","[57, 43]","[5, 8, 2, 7, 10]","[12, 1, 6, 9, 3]","[4, 11]","[29, 18, 21, 15, 17]","[12, 21, 26, 20, 21]","[53, 47]",100,2,3,6,6,24,17,23,7,9,1,5,6,4,2,54,42.34347775,3,22,66,2,3,91,35,1
